Rk,Team,Overall,Home,Road,W,≤3,≥10,L,W%,HW,HL,HW%,RW,RL,RW%,Season
14,OKC,45-37,29-12,16-25,45,4-8,26-14,37,0.5487804878048781,29,12,0.7073170731707317,16,25,0.3902439024390244,2015
15,MIL,41-41,23-18,18-23,41,5-9,17-16,41,0.5,23,18,0.5609756097560976,18,23,0.43902439024390244,2015
16,BOS,40-42,21-20,19-22,40,8-6,17-14,42,0.4878048780487805,21,20,0.5121951219512195,19,22,0.4634146341463415,2015
17,PHO,39-43,22-19,17-24,39,4-12,14-19,43,0.47560975609756095,22,19,0.5365853658536586,17,24,0.4146341463414634,2015
18,BRK,38-44,19-22,19-22,38,10-2,15-23,44,0.4634146341463415,19,22,0.4634146341463415,19,22,0.4634146341463415,2015
19,IND,38-44,23-18,15-26,38,4-12,19-20,44,0.4634146341463415,23,18,0.5609756097560976,15,26,0.36585365853658536,2015
20,UTA,38-44,21-20,17-24,38,5-10,18-19,44,0.4634146341463415,21,20,0.5121951219512195,17,24,0.4146341463414634,2015
21,MIA,37-45,20-21,17-24,37,4-10,15-28,45,0.45121951219512196,20,21,0.4878048780487805,17,24,0.4146341463414634,2015
22,CHO,33-49,19-22,14-27,33,6-8,13-22,49,0.4024390243902439,19,22,0.4634146341463415,14,27,0.34146341463414637,2015
23,DET,32-50,18-23,14-27,32,7-6,19-25,50,0.3902439024390244,18,23,0.43902439024390244,14,27,0.34146341463414637,2015
24,DEN,30-52,19-22,11-30,30,4-4,17-28,52,0.36585365853658536,19,22,0.4634146341463415,11,30,0.2682926829268293,2015
25,SAC,29-53,18-23,11-30,29,6-4,12-28,53,0.35365853658536583,18,23,0.43902439024390244,11,30,0.2682926829268293,2015
26,ORL,25-57,13-28,12-29,25,6-8,4-27,57,0.3048780487804878,13,28,0.3170731707317073,12,29,0.2926829268292683,2015
27,LAL,21-61,12-29,9-32,21,6-6,5-30,61,0.25609756097560976,12,29,0.2926829268292683,9,32,0.21951219512195122,2015
28,PHI,18-64,12-29,6-35,18,3-7,5-41,64,0.21951219512195122,12,29,0.2926829268292683,6,35,0.14634146341463414,2015
29,NYK,17-65,10-31,7-34,17,2-7,3-39,65,0.2073170731707317,10,31,0.24390243902439024,7,34,0.17073170731707318,2015
30,MIN,16-66,9-32,7-34,16,6-6,4-40,66,0.1951219512195122,9,32,0.21951219512195122,7,34,0.17073170731707318,2015
1,GSW,73-9,39-2,34-7,73,7-2,44-5,9,0.8902439024390244,39,2,0.9512195121951219,34,7,0.8292682926829268,2016
2,SAS,67-15,40-1,27-14,67,4-4,44-6,15,0.8170731707317073,40,1,0.975609756097561,27,14,0.6585365853658537,2016
3,CLE,57-25,33-8,24-17,57,4-7,32-8,25,0.6951219512195121,33,8,0.8048780487804879,24,17,0.5853658536585366,2016
4,TOR,56-26,32-9,24-17,56,6-6,28-10,26,0.6829268292682927,32,9,0.7804878048780488,24,17,0.5853658536585366,2016
5,OKC,55-27,32-9,23-18,55,8-6,33-5,27,0.6707317073170732,32,9,0.7804878048780488,23,18,0.5609756097560976,2016
6,LAC,53-29,29-12,24-17,53,8-4,28-15,29,0.6463414634146342,29,12,0.7073170731707317,24,17,0.5853658536585366,2016
7,ATL,48-34,27-14,21-20,48,5-7,29-17,34,0.5853658536585366,27,14,0.6585365853658537,21,20,0.5121951219512195,2016
8,BOS,48-34,28-13,20-21,48,5-7,26-13,34,0.5853658536585366,28,13,0.6829268292682927,20,21,0.4878048780487805,2016
9,CHO,48-34,30-11,18-23,48,6-5,25-17,34,0.5853658536585366,30,11,0.7317073170731707,18,23,0.43902439024390244,2016
10,MIA,48-34,28-13,20-21,48,7-5,24-20,34,0.5853658536585366,28,13,0.6829268292682927,20,21,0.4878048780487805,2016
11,IND,45-37,26-15,19-22,45,9-9,21-13,37,0.5487804878048781,26,15,0.6341463414634146,19,22,0.4634146341463415,2016
12,DET,44-38,26-15,18-23,44,6-5,21-20,38,0.5365853658536586,26,15,0.6341463414634146,18,23,0.43902439024390244,2016
13,POR,44-38,28-13,16-25,44,2-7,23-21,38,0.5365853658536586,28,13,0.6829268292682927,16,25,0.3902439024390244,2016
14,DAL,42-40,23-18,19-22,42,6-11,19-18,40,0.5121951219512195,23,18,0.5609756097560976,19,22,0.4634146341463415,2016
15,MEM,42-40,26-15,16-25,42,8-3,15-23,40,0.5121951219512195,26,15,0.6341463414634146,16,25,0.3902439024390244,2016
16,CHI,42-40,26-15,16-25,42,10-4,14-19,40,0.5121951219512195,26,15,0.6341463414634146,16,25,0.3902439024390244,2016
17,HOU,41-41,23-18,18-23,41,5-8,14-18,41,0.5,23,18,0.5609756097560976,18,23,0.43902439024390244,2016
18,WAS,41-41,22-19,19-22,41,7-6,22-22,41,0.5,22,19,0.5365853658536586,19,22,0.4634146341463415,2016
19,UTA,40-42,24-17,16-25,40,6-8,23-13,42,0.4878048780487805,24,17,0.5853658536585366,16,25,0.3902439024390244,2016
20,ORL,35-47,23-18,12-29,35,6-10,12-20,47,0.4268292682926829,23,18,0.5609756097560976,12,29,0.2926829268292683,2016
21,DEN,33-49,18-23,15-26,33,10-5,11-21,49,0.4024390243902439,18,23,0.43902439024390244,15,26,0.36585365853658536,2016
22,MIL,33-49,23-18,10-31,33,6-4,12-27,49,0.4024390243902439,23,18,0.5609756097560976,10,31,0.24390243902439024,2016
23,SAC,33-49,18-23,15-26,33,8-4,11-19,49,0.4024390243902439,18,23,0.43902439024390244,15,26,0.36585365853658536,2016
24,NYK,32-50,18-23,14-27,32,4-7,14-23,50,0.3902439024390244,18,23,0.43902439024390244,14,27,0.34146341463414637,2016
25,NOP,30-52,21-20,9-32,30,5-5,11-23,52,0.36585365853658536,21,20,0.5121951219512195,9,32,0.21951219512195122,2016
26,MIN,29-53,14-27,15-26,29,7-7,9-23,53,0.35365853658536583,14,27,0.34146341463414637,15,26,0.36585365853658536,2016
27,PHO,23-59,14-27,9-32,23,4-5,10-32,59,0.2804878048780488,14,27,0.34146341463414637,9,32,0.21951219512195122,2016
28,BRK,21-61,14-27,7-34,21,7-4,6-34,61,0.25609756097560976,14,27,0.34146341463414637,7,34,0.17073170731707318,2016
29,LAL,17-65,12-29,5-36,17,2-7,4-44,65,0.2073170731707317,12,29,0.2926829268292683,5,36,0.12195121951219512,2016
30,PHI,10-72,7-34,3-38,10,0-6,5-41,72,0.12195121951219512,7,34,0.17073170731707318,3,38,0.07317073170731707,2016
1,GSW,67-15,36-5,31-10,67,3-4,48-6,15,0.8170731707317073,36,5,0.8780487804878049,31,10,0.7560975609756098,2017
2,SAS,61-21,31-10,30-11,61,8-5,30-8,21,0.7439024390243902,31,10,0.7560975609756098,30,11,0.7317073170731707,2017
3,HOU,55-27,30-11,25-16,55,8-3,30-11,27,0.6707317073170732,30,11,0.7317073170731707,25,16,0.6097560975609756,2017
4,BOS,53-29,30-11,23-18,53,7-6,17-11,29,0.6463414634146342,30,11,0.7317073170731707,23,18,0.5609756097560976,2017
5,CLE,51-31,31-10,20-21,51,3-4,25-15,31,0.6219512195121951,31,10,0.7560975609756098,20,21,0.4878048780487805,2017
6,LAC,51-31,29-12,22-19,51,3-6,33-14,31,0.6219512195121951,29,12,0.7073170731707317,22,19,0.5365853658536586,2017
7,TOR,51-31,28-13,23-18,51,8-7,26-8,31,0.6219512195121951,28,13,0.6829268292682927,23,18,0.5609756097560976,2017
8,UTA,51-31,29-12,22-19,51,4-4,23-10,31,0.6219512195121951,29,12,0.7073170731707317,22,19,0.5365853658536586,2017
9,WAS,49-33,30-11,19-22,49,9-6,18-12,33,0.5975609756097561,30,11,0.7317073170731707,19,22,0.4634146341463415,2017
10,OKC,47-35,28-13,19-22,47,12-7,23-21,35,0.573170731707317,28,13,0.6829268292682927,19,22,0.4634146341463415,2017
11,ATL,43-39,23-18,20-21,43,7-8,17-21,39,0.524390243902439,23,18,0.5609756097560976,20,21,0.4878048780487805,2017
12,MEM,43-39,24-17,19-22,43,7-5,17-20,39,0.524390243902439,24,17,0.5853658536585366,19,22,0.4634146341463415,2017
13,IND,42-40,29-12,13-28,42,4-2,23-19,40,0.5121951219512195,29,12,0.7073170731707317,13,28,0.3170731707317073,2017
14,MIL,42-40,23-18,19-22,42,8-2,21-22,40,0.5121951219512195,23,18,0.5609756097560976,19,22,0.4634146341463415,2017
15,CHI,41-41,25-16,16-25,41,5-6,17-23,41,0.5,25,16,0.6097560975609756,16,25,0.3902439024390244,2017
16,POR,41-41,25-16,16-25,41,7-11,18-16,41,0.5,25,16,0.6097560975609756,16,25,0.3902439024390244,2017
17,MIA,41-41,23-18,18-23,41,8-6,19-13,41,0.5,23,18,0.5609756097560976,18,23,0.43902439024390244,2017
18,DEN,40-42,22-19,18-23,40,5-10,24-19,42,0.4878048780487805,22,19,0.5365853658536586,18,23,0.43902439024390244,2017
19,DET,37-45,24-17,13-28,37,5-7,23-26,45,0.45121951219512196,24,17,0.5853658536585366,13,28,0.3170731707317073,2017
20,CHO,36-46,22-19,14-27,36,0-9,19-18,46,0.43902439024390244,22,19,0.5365853658536586,14,27,0.34146341463414637,2017
21,NOP,34-48,21-20,13-28,34,7-6,17-22,48,0.4146341463414634,21,20,0.5121951219512195,13,28,0.3170731707317073,2017
22,DAL,33-49,21-20,12-29,33,4-6,14-26,49,0.4024390243902439,21,20,0.5121951219512195,12,29,0.2926829268292683,2017
23,SAC,32-50,17-24,15-26,32,10-6,9-27,50,0.3902439024390244,17,24,0.4146341463414634,15,26,0.36585365853658536,2017
24,MIN,31-51,20-21,11-30,31,7-10,18-19,51,0.3780487804878049,20,21,0.4878048780487805,11,30,0.2682926829268293,2017
25,NYK,31-51,19-22,12-29,31,7-10,10-25,51,0.3780487804878049,19,22,0.4634146341463415,12,29,0.2926829268292683,2017
26,ORL,29-53,16-25,13-28,29,5-5,10-32,53,0.35365853658536583,16,25,0.3902439024390244,13,28,0.3170731707317073,2017
27,PHI,28-54,17-24,11-30,28,9-8,7-29,54,0.34146341463414637,17,24,0.4146341463414634,11,30,0.2682926829268293,2017
28,LAL,26-56,17-24,9-32,26,2-4,14-31,56,0.3170731707317073,17,24,0.4146341463414634,9,32,0.21951219512195122,2017
29,PHO,24-58,15-26,9-32,24,9-5,7-32,58,0.2926829268292683,15,26,0.36585365853658536,9,32,0.21951219512195122,2017
30,BRK,20-62,13-28,7-34,20,3-6,9-30,62,0.24390243902439024,13,28,0.3170731707317073,7,34,0.17073170731707318,2017
1,HOU,65-17,34-7,31-10,65,5-3,38-8,17,0.7926829268292683,34,7,0.8292682926829268,31,10,0.7560975609756098,2018
2,TOR,59-23,34-7,25-16,59,5-7,33-5,23,0.7195121951219512,34,7,0.8292682926829268,25,16,0.6097560975609756,2018
3,GSW,58-24,29-12,29-12,58,5-1,38-13,24,0.7073170731707317,29,12,0.7073170731707317,29,12,0.7073170731707317,2018
4,BOS,55-27,27-14,28-13,55,11-8,25-9,27,0.6707317073170732,27,14,0.6585365853658537,28,13,0.6829268292682927,2018
5,PHI,52-30,30-11,22-19,52,4-7,31-11,30,0.6341463414634146,30,11,0.7317073170731707,22,19,0.5365853658536586,2018
6,CLE,50-32,29-12,21-20,50,8-5,17-20,32,0.6097560975609756,29,12,0.7073170731707317,21,20,0.5121951219512195,2018
7,POR,49-33,28-13,21-20,49,8-8,20-12,33,0.5975609756097561,28,13,0.6829268292682927,21,20,0.5121951219512195,2018
8,IND,48-34,27-14,21-20,48,11-2,20-16,34,0.5853658536585366,27,14,0.6585365853658537,21,20,0.5121951219512195,2018
9,NOP,48-34,24-17,24-17,48,7-3,19-16,34,0.5853658536585366,24,17,0.5853658536585366,24,17,0.5853658536585366,2018
10,OKC,48-34,27-14,21-20,48,8-10,24-11,34,0.5853658536585366,27,14,0.6585365853658537,21,20,0.5121951219512195,2018
11,UTA,48-34,28-13,20-21,48,4-5,31-19,34,0.5853658536585366,28,13,0.6829268292682927,20,21,0.4878048780487805,2018
12,MIN,47-35,30-11,17-24,47,7-7,25-12,35,0.573170731707317,30,11,0.7317073170731707,17,24,0.4146341463414634,2018
13,SAS,47-35,33-8,14-27,47,8-10,25-17,35,0.573170731707317,33,8,0.8048780487804879,14,27,0.34146341463414637,2018
14,DEN,46-36,31-10,15-26,46,10-5,21-15,36,0.5609756097560976,31,10,0.7560975609756098,15,26,0.36585365853658536,2018
15,MIA,44-38,26-15,18-23,44,9-9,16-13,38,0.5365853658536586,26,15,0.6341463414634146,18,23,0.43902439024390244,2018
16,MIL,44-38,25-16,19-22,44,7-4,14-16,38,0.5365853658536586,25,16,0.6097560975609756,19,22,0.4634146341463415,2018
17,WAS,43-39,23-18,20-21,43,5-7,22-12,39,0.524390243902439,23,18,0.5609756097560976,20,21,0.4878048780487805,2018
18,LAC,42-40,22-19,20-21,42,8-2,22-19,40,0.5121951219512195,22,19,0.5365853658536586,20,21,0.4878048780487805,2018
19,DET,39-43,25-16,14-27,39,4-7,19-23,43,0.47560975609756095,25,16,0.6097560975609756,14,27,0.34146341463414637,2018
20,CHO,36-46,21-20,15-26,36,1-5,23-23,46,0.43902439024390244,21,20,0.5121951219512195,15,26,0.36585365853658536,2018
21,LAL,35-47,20-21,15-26,35,6-7,18-21,47,0.4268292682926829,20,21,0.4878048780487805,15,26,0.36585365853658536,2018
22,NYK,29-53,19-22,10-31,29,2-7,15-30,53,0.35365853658536583,19,22,0.4634146341463415,10,31,0.24390243902439024,2018
23,BRK,28-54,15-26,13-28,28,5-7,9-27,54,0.34146341463414637,15,26,0.36585365853658536,13,28,0.3170731707317073,2018
24,CHI,27-55,17-24,10-31,27,9-5,6-30,55,0.32926829268292684,17,24,0.4146341463414634,10,31,0.24390243902439024,2018
25,SAC,27-55,14-27,13-28,27,6-5,5-32,55,0.32926829268292684,14,27,0.34146341463414637,13,28,0.3170731707317073,2018
26,ORL,25-57,17-24,8-33,25,3-5,10-27,57,0.3048780487804878,17,24,0.4146341463414634,8,33,0.1951219512195122,2018
27,ATL,24-58,16-25,8-33,24,6-8,8-35,58,0.2926829268292683,16,25,0.3902439024390244,8,33,0.1951219512195122,2018
28,DAL,24-58,15-26,9-32,24,2-9,11-20,58,0.2926829268292683,15,26,0.36585365853658536,9,32,0.21951219512195122,2018
29,MEM,22-60,16-25,6-35,22,5-12,8-26,60,0.2682926829268293,16,25,0.3902439024390244,6,35,0.14634146341463414,2018
30,PHO,21-61,10-31,11-30,21,6-5,5-40,61,0.25609756097560976,10,31,0.24390243902439024,11,30,0.2682926829268293,2018
1,MIL,60-22,33-8,27-14,60,5-6,45-5,22,0.7317073170731707,33,8,0.8048780487804879,27,14,0.6585365853658537,2019
2,TOR,58-24,32-9,26-15,58,11-7,33-9,24,0.7073170731707317,32,9,0.7804878048780488,26,15,0.6341463414634146,2019
3,GSW,57-25,30-11,27-14,57,7-7,34-10,25,0.6951219512195121,30,11,0.7317073170731707,27,14,0.6585365853658537,2019
4,DEN,54-28,34-7,20-21,54,13-3,23-11,28,0.6585365853658537,34,7,0.8292682926829268,20,21,0.4878048780487805,2019
5,HOU,53-29,31-10,22-19,53,5-7,29-12,29,0.6463414634146342,31,10,0.7560975609756098,22,19,0.5365853658536586,2019
6,POR,53-29,32-9,21-20,53,4-6,29-8,29,0.6463414634146342,32,9,0.7804878048780488,21,20,0.5121951219512195,2019
7,PHI,51-31,31-10,20-21,51,10-8,22-16,31,0.6219512195121951,31,10,0.7560975609756098,20,21,0.4878048780487805,2019
8,UTA,50-32,29-12,21-20,50,0-7,34-12,32,0.6097560975609756,29,12,0.7073170731707317,21,20,0.5121951219512195,2019
9,BOS,49-33,28-13,21-20,49,5-6,24-12,33,0.5975609756097561,28,13,0.6829268292682927,21,20,0.5121951219512195,2019
10,OKC,49-33,27-14,22-19,49,6-7,23-12,33,0.5975609756097561,27,14,0.6585365853658537,22,19,0.5365853658536586,2019
11,IND,48-34,29-12,19-22,48,6-6,23-16,34,0.5853658536585366,29,12,0.7073170731707317,19,22,0.4634146341463415,2019
12,LAC,48-34,26-15,22-19,48,6-2,23-18,34,0.5853658536585366,26,15,0.6341463414634146,22,19,0.5365853658536586,2019
13,SAS,48-34,32-9,16-25,48,7-4,25-16,34,0.5853658536585366,32,9,0.7804878048780488,16,25,0.3902439024390244,2019
14,BRK,42-40,23-18,19-22,42,12-8,16-22,40,0.5121951219512195,23,18,0.5609756097560976,19,22,0.4634146341463415,2019
15,ORL,42-40,25-16,17-24,42,5-6,21-21,40,0.5121951219512195,25,16,0.6097560975609756,17,24,0.4146341463414634,2019
16,DET,41-41,26-15,15-26,41,6-9,16-21,41,0.5,26,15,0.6341463414634146,15,26,0.36585365853658536,2019
17,CHO,39-43,25-16,14-27,39,6-10,21-20,43,0.47560975609756095,25,16,0.6097560975609756,14,27,0.34146341463414637,2019
18,MIA,39-43,19-22,20-21,39,6-9,16-20,43,0.47560975609756095,19,22,0.4634146341463415,20,21,0.4878048780487805,2019
19,SAC,39-43,24-17,15-26,39,6-7,16-18,43,0.47560975609756095,24,17,0.5853658536585366,15,26,0.36585365853658536,2019
20,LAL,37-45,22-19,15-26,37,5-4,16-25,45,0.45121951219512196,22,19,0.5365853658536586,15,26,0.36585365853658536,2019
21,MIN,36-46,25-16,11-30,36,8-5,19-22,46,0.43902439024390244,25,16,0.6097560975609756,11,30,0.2682926829268293,2019
22,DAL,33-49,24-17,9-32,33,7-7,12-22,49,0.4024390243902439,24,17,0.5853658536585366,9,32,0.21951219512195122,2019
23,MEM,33-49,21-20,12-29,33,6-9,14-19,49,0.4024390243902439,21,20,0.5121951219512195,12,29,0.2926829268292683,2019
24,NOP,33-49,19-22,14-27,33,4-6,15-20,49,0.4024390243902439,19,22,0.4634146341463415,14,27,0.34146341463414637,2019
25,WAS,32-50,22-19,10-31,32,5-6,14-23,50,0.3902439024390244,22,19,0.5365853658536586,10,31,0.24390243902439024,2019
26,ATL,29-53,17-24,12-29,29,9-6,7-31,53,0.35365853658536583,17,24,0.4146341463414634,12,29,0.2926829268292683,2019
27,CHI,22-60,9-32,13-28,22,8-8,9-31,60,0.2682926829268293,9,32,0.21951219512195122,13,28,0.3170731707317073,2019
28,CLE,19-63,13-28,6-35,19,5-4,6-43,63,0.23170731707317074,13,28,0.3170731707317073,6,35,0.14634146341463414,2019
29,PHO,19-63,12-29,7-34,19,5-5,5-40,63,0.23170731707317074,12,29,0.2926829268292683,7,34,0.17073170731707318,2019
30,NYK,17-65,9-32,8-33,17,4-7,6-41,65,0.2073170731707317,9,32,0.21951219512195122,8,33,0.1951219512195122,2019
1,MIL,56-17,30-5,26-12,56,3-2,38-8,17,0.7671232876712328,30,5,0.8571428571428571,26,12,0.6842105263157895,2020
2,TOR,53-19,26-10,27-9,53,6-4,23-10,19,0.7361111111111112,26,10,0.7222222222222222,27,9,0.75,2020
3,LAL,52-19,25-10,27-9,52,7-3,25-11,19,0.7323943661971831,25,10,0.7142857142857143,27,9,0.75,2020
4,LAC,49-23,27-9,22-14,49,8-3,32-8,23,0.6805555555555556,27,9,0.75,22,14,0.6111111111111112,2020
5,BOS,48-24,26-10,22-14,48,6-5,29-7,24,0.6666666666666666,26,10,0.7222222222222222,22,14,0.6111111111111112,2020
6,DEN,46-27,26-11,20-16,46,9-5,16-13,27,0.6301369863013698,26,11,0.7027027027027027,20,16,0.5555555555555556,2020
7,IND,45-28,25-11,20-17,45,5-7,20-12,28,0.6164383561643836,25,11,0.6944444444444444,20,17,0.5405405405405406,2020
8,HOU,44-28,24-12,20-16,44,4-5,22-14,28,0.6111111111111112,24,12,0.6666666666666666,20,16,0.5555555555555556,2020
9,MIA,44-29,29-7,15-22,44,6-4,23-11,29,0.6027397260273972,29,7,0.8055555555555556,15,22,0.40540540540540543,2020
10,OKC,44-28,23-14,21-14,44,8-6,18-10,28,0.6111111111111112,23,14,0.6216216216216216,21,14,0.6,2020
11,UTA,44-28,23-12,21-16,44,7-5,18-11,28,0.6111111111111112,23,12,0.6571428571428571,21,16,0.5675675675675675,2020
12,DAL,43-32,20-18,23-14,43,2-11,23-9,32,0.5733333333333334,20,18,0.5263157894736842,23,14,0.6216216216216216,2020
13,PHI,43-30,31-4,12-26,43,6-5,19-15,30,0.589041095890411,31,4,0.8857142857142857,12,26,0.3157894736842105,2020
14,BRK,35-37,20-16,15-21,35,7-7,17-19,37,0.4861111111111111,20,16,0.5555555555555556,15,21,0.4166666666666667,2020
15,POR,35-39,21-15,14-24,35,9-3,17-18,39,0.47297297297297297,21,15,0.5833333333333334,14,24,0.3684210526315789,2020
16,MEM,34-39,20-17,14-22,34,3-4,18-21,39,0.4657534246575342,20,17,0.5405405405405406,14,22,0.3888888888888889,2020
17,PHO,34-39,17-22,17-17,34,4-8,15-18,39,0.4657534246575342,17,22,0.4358974358974359,17,17,0.5,2020
18,ORL,33-40,18-17,15-23,33,5-5,18-20,40,0.4520547945205479,18,17,0.5142857142857142,15,23,0.39473684210526316,2020
19,SAS,32-39,19-15,13-24,32,10-7,10-12,39,0.4507042253521127,19,15,0.5588235294117647,13,24,0.35135135135135137,2020
20,SAC,31-41,16-19,15-22,31,6-8,12-18,41,0.4305555555555556,16,19,0.45714285714285713,15,22,0.40540540540540543,2020
